Code	Incipit	Rubrica	File	Source	Duplicate of		
H1F3L1	De libro primo Regum	1 S. 1: 12-18					
H1F3L2		1 S. 1: 18-22					
H1F3L3		1 S. 1: 23-28					
H1F4L1	De libro primo Regum	1 S. 2: 12-14					
H1F4L2		1 S. 2: 15-17					
H1F4L3		1 S. 2: 18-21					
H1F5N1L1	De Epístola prima beáti Pauli Apóstoli ad Corínthios	1 Co. 11: 20-22					
H1F5N1L2		1 Co. 11: 23-26				cf. Q6F5N3L2 (mais non car lecture notée ?)	
H1F5N1L3		1 Co. 11: 27-32					
H1F6N1L1	De libro primo Regum	1 S. 2: 27-29					
H1F6N1L2		1 S. 2: 30-33					
H1F6N1L3		1 S. 2: 34-36					
H1F7N1L1	De libro primo Regum	1 S. 3: 1-7					
H1F7N1L2		1 S. 3: 8-12					
H1F7N1L3		1 S. 3: 15-20					
H2F1N1L1	De libro primo Regum	1 S. 4: 1-3					
H2F1N1L2		1 S. 4: 4-6					
H2F1N1L3		1 S. 4: 7-11					
H2F2N1L1	De libro primo Regum	1 S. 5: 1-5					
H2F2N1L2		1 S. 5: 6-8					
H2F2N1L3		1 S. 5: 8-12					
H2F3N1L1	De libro primo Regum	1 S. 6: 1-3					
H2F3N1L2		1 S. 6: 6-10					
H2F3N1L3		1 S. 6: 12-15					
H2F4N1L1	De libro primo Regum	1 S. 6: 19-21; 7: 1					
H2F4N1L2		1 S. 7: 2-4					
H2F4N1L3		1 S. 7: 5-8					
H2F5N1L1	De libro primo Regum	1 S. 8: 4-6					
H2F5N1L2		1 S. 8: 7-9					
H2F5N1L3		1 S. 8: 10-14					
H2F6N1L1	De Jerémia Prophéta	Jr. 24: 5-7					
H2F6N1L2		Jr. 30: 18-19, 21-24					
H2F6N1L3		Jr. 31:1-3, 31-33					
H2F6bL1	De libro primo Regum	1 S. 8: 4-6					
H2F6bL2		1 S. 8: 7-9					
H2F6bL3		1 S. 8: 10-14					
H2F7N1L1	De libro primo Regum	1 S. 9: 1-4					
H2F7N1L2		1 S. 9: 5-8					
H2F7N1L3		1 S. 9: 14-17					
H3F1N1L1	De libro primo Regum	1 S. 9: 18-21					
H3F1N1L2		1 S. 9: 22-25					
H3F1N1L3		1 S. 9: 26-27; 10: 1					
H3F2N1L1	De libro primo Regum	1 S. 10: 17-19					
H3F2N1L2		1 S. 10: 20-24					
H3F2N1L3		1 S. 10: 25-27					
H3F3N1L1	De libro primo Regum	1 S. 12: 1-5					
H3F3N1L2		1 S. 12: 6-9					
H3F3N1L3		1 S. 12: 10-14					
H3F4N1L1	De libro primo Regum	1 S. 13: 1-4					
H3F4N1L2		1 S. 13: 5-8					
H3F4N1L3		1 S. 13: 9-14					
H3F5N1L1	De libro primo Regum	1 S. 14: 6-11					
H3F5N1L2		1 S. 14: 12-15					
H3F5N1L3		1 S. 14: 16-20					
H3F6N1L1	De libro primo Regum	1 S. 15: 1-3					
H3F6N1L2		1 S. 15: 4-8					
H3F6N1L3		1 S. 15: 9-11					
H3F7L1	De libro primo Regum	1 S. 16: 1-3					
H3F7L2		1 S. 16: 4-7					
H3F7L3		1 S. 16: 8-11					
H4F1N1L1	De libro primo Regum	1 S. 17: 1-7					
H4F1N1L2		1 S. 17: 8-11					
H4F1N1L3		1 S. 17: 12-16					
H4F2L1	De libro primo Regum	1 S. 17: 25-26					
H4F2L2		1 S. 17: 31-33					
H4F2L3		1 S. 17: 34-36					
H4F3L1	De libro primo Regum	1 S. 17: 38-40					
H4F3L2		1 S. 17: 41-46					
H4F3L3		1 S. 17: 48-51					
H4F4L1	De libro primo Regum	1 S. 17: 57-58; 18: 1-5				attention, centonisation	
H4F4L2		1 S. 18: 6-11					
H4F4L3		1 S. 18: 12-17					
H4F5L1	De libro primo Regum	1 S. 19: 1-3					
H4F5L2		1 S. 19: 4-6					
H4F5L3		1 S. 19: 8-10					
H4F6L1	De libro primo Regum	1 S. 20: 1-2					
H4F6L2		1 S. 20: 3-4					
H4F6L3		1 S. 20: 5-7					
H4F7L1	De libro primo Regum	1 S. 21: 1-3					
H4F7L2		1 S. 21: 4-6					
H4F7L3		1 S. 21: 7-9					
H5F1N1L1	Incipit liber secúndus Regum	2 S. 1: 1-4					
H5F1N1L2		2 S. 1: 5-10					
H5F1N1L3		2 S. 1: 11-15					
H5F2L1	De libro secúndo Regum	2 S. 2: 1-4					
H5F2L2		2 S. 2: 4-7					
H5F2L3		2 S. 2: 8-11					
H5F3L1	De libro secúndo Regum	2 S. 3: 6-10					
H5F3L2		2 S. 3: 12-16					
H5F3L3		2 S. 3: 17-21					
H5F4L1	De libro secúndo Regum	2 S. 4: 5-8					
H5F4L2		2 S. 4: 9-12					
H5F4L3		2 S. 5: 1-7					
H5F5L1	De libro secúndo Regum	2 S. 6: 1-3					
H5F5L2		2 S. 6: 4-7					
H5F5L3		2 S. 6: 8-12					
H5F6L1	De libro secúndo Regum	2 S. 7: 4-6					
H5F6L2		2 S. 7: 7-11					
H5F6L3		2 S. 7: 12-17					
H5F7L1	De libro secúndo Regum	2 S. 11: 1-4					
H5F7L2		2 S. 11: 5-11					
H5F7L3		2 S. 11: 12-17					
H6F1N1L1	De libro secúndo Regum	2 S. 12: 1-4					
H6F1N1L2		2 S. 12: 5-9					
H6F1N1L3		2 S. 12: 10-16					
H6F2L1	De libro secúndo Regum	2 S. 13: 22-25					
H6F2L2		2 S. 13: 26-29					
H6F2L3		2 S. 13: 30-34					
H6F3L1	De libro secúndo Regum	2 S. 14: 4-7					
H6F3L2		2 S. 14: 10-14					
H6F3L3		2 S. 14: 19-21					
H6F4L1	De libro secúndo Regum	2 S. 15: 1-3					
H6F4L2		2 S. 15: 3-6					
H6F4L3		2 S. 15: 7-10					
H6F5L1	De libro secúndo Regum	2 S. 15: 13-15					
H6F5L2		2 S. 15: 16-18					
H6F5L3		2 S. 15: 19-20					
H6F6L1	De libro secúndo Regum	2 S. 16: 5-8					
H6F6L2		2 S. 16: 9-10					
H6F6L3		2 S. 16: 11-12					
H6F7L1	De libro secúndo Regum	2 S. 18: 6-8					
H6F7L2		2 S. 18: 9-12					
H6F7L3		2 S. 18: 14-17					
H7F1N1L1	Incipit liber tértius Regum	1 R. 1: 1-4					
H7F1N1L2		1 R. 1: 5-8					
H7F1N1L3		1 R. 1: 11-15					
H7F2L1	De libro tértio Regum	1 R. 1: 28-31					
H7F2L2		1 R. 1: 32-35					
H7F2L3		1 R. 1: 38-40					
H7F3L1	De libro tértio Regum	1 R. 2: 1-4					
H7F3L2		1 R. 2: 5-6					
H7F3L3		1 R. 2: 7-9					
H7F4L1	De libro tértio Regum	1 R. 3: 5-6					
H7F4L2		1 R. 3: 7-9					
H7F4L3		1 R. 3: 10-13					
H7F5L1	De libro tértio Regum	1 R. 4: 21-24					
H7F5L2		1 R. 4: 25-29					
H7F5L3		1 R. 4: 30-34					
H7F6L1	De libro tértio Regum	1 R. 5: 1-4					
H7F6L2		1 R. 5: 5-6					
H7F6L3		1 R. 5: 7-9					
H7F7L1	De libro tértio Regum	1 R. 7: 51; 8: 1-2					
H7F7L2		1 R. 8: 3-7					
H7F7L3		1 R. 8: 9-12					
H8F1N1L1	De libro tértio Regum	1 R. 9: 1-5					
H8F1N1L2		1 R. 9: 6-9					
H8F1N1L3		1 R. 9: 10-14					
H8F2L1	De libro tértio Regum	1 R. 10: 1-3					
H8F2L2		1 R. 10: 4-7					
H8F2L3		1 R. 10: 8-11					
H8F3L1	De libro tértio Regum	1 R. 11: 1-4					
H8F3L2		1 R. 11: 5-8					
H8F3L3		1 R. 11: 9-12					
H8F4L1	De libro tértio Regum	1 R. 11: 26-28					
H8F4L2		1 R. 11: 29-31					
H8F4L3		1 R. 11: 40-43					
H8F5L1	De libro tértio Regum	1 R. 12: 1-5					
H8F5L2		1 R. 12: 5-8					
H8F5L3		1 R. 12: 13-16					
H8F6L1	De libro tértio Regum	1 R. 14: 5-6					
H8F6L2		1 R. 14: 7-9					
H8F6L3		1 R. 14: 10-12					
H8F7L1	De libro tértio Regum	1 R. 18: 21-22					
H8F7L2		1 R. 18: 23-24					
H8F7L3		1 R. 18: 25-27					
H9F1N1L1	Incipit liber quartus Regum	2 R. 1: 1-4					
H9F1N1L2		2 R. 1: 4-6					
H9F1N1L3		2 R. 1: 7-10					
H9F2L1	De libro quarto Regum	2 R. 2: 5-7					
H9F2L2		2 R. 2: 8-10					
H9F2L3		2 R. 2: 11-13					
H9F3L1	De libro quarto Regum	2 R. 3: 6-9					
H9F3L2		2 R. 3: 10-13					
H9F3L3		2 R. 3: 13-18					
H9F4L1	De libro quarto Regum	2 R. 4: 1-4					
H9F4L2		2 R. 4: 5-10					
H9F4L3		2 R. 4: 11-17					
H9F5L1	De libro quarto Regum	2 R. 6: 24-27					
H9F5L2		2 R. 6: 27-32					
H9F5L3		2 R. 6: 32-33; 7: 1					
H9F6L1	De libro quarto Regum	2 R. 8: 1-3					
H9F6L2		2 R. 8: 4-6					
H9F6L3		2 R. 8: 7-10					
H9F7L1	De libro quarto Regum	2 R. 9: 1-5					
H9F7L2		2 R. 9: 6-10					
H9F7L3		2 R. 9: 11-13					
H10F1N1L1	De libro quarto Regum	2 R. 9: 29-34					
H10F1N1L2		2 R. 9: 35-37; 10: 1-3					
H10F1N1L3		2 R. 10: 4-7					
H10F2L1	De libro quarto Regum	2 R. 11: 1-3					
H10F2L2		2 R. 11: 4-7					
H10F2L3		2 R. 11: 9-12					
H10F3L1	De libro quarto Regum	2 R. 12: 1-3					
H10F3L2		2 R. 12: 4-5					
H10F3L3		2 R. 12: 6-8					
H10F4L1	De libro quarto Regum	2 R. 13: 14-17					
H10F4L2		2 R. 13: 18-20					
H10F4L3		2 R. 13: 21; 13: 24-25					
H10F5L1	De libro quarto Regum	2 R. 17: 6-9					
H10F5L2		2 R. 17: 13-15					
H10F5L3		2 R. 17: 18-21					
H10F6L1	De libro quarto Regum	2 R. 17: 21-23					
H10F6L2		2 R. 17: 24-25					
H10F6L3		2 R. 17: 26-27					
H10F7L1	De libro quarto Regum	2 R. 18: 1-5					
H10F7L2		2 R. 18: 5-8					
H10F7L3		2 R. 18: 9-12					
H11F1N1L1	De libro quarto Regum	2 R. 20: 1-3					
H11F1N1L2		2 R. 20: 4-7					
H11F1N1L3		2 R. 20: 8-11					
H11F2L1	De libro quarto Regum	2 R. 22: 1-5					
H11F2L2		2 R. 22: 8-10					
H11F2L3		2 R. 22: 10-13					
H11F3L1	De libro quarto Regum	2 R. 23: 2-3					
H11F3L2		2 R. 23: 4-5					
H11F3L3		2 R. 23: 6-8					
H11F4L1	De libro quarto Regum	2 R. 23: 24-26					
H11F4L2		2 R. 23: 27-30					
H11F4L3		2 R. 23: 30-34					
H11F5L1	De libro quarto Regum	2 R. 23: 36-37; 24: 1					
H11F5L2		2 R. 24: 2-4					
H11F5L3		2 R. 24: 5-7					
H11F6L1	De libro quarto Regum	2 R. 24: 8-11					
H11F6L2		2 R. 24: 12-14					
H11F6L3		2 R. 24: 15-17					
H11F7L1	De libro quarto Regum	2 R. 24: 18-20; 25: 1-3					
H11F7L2		2 R. 25: 4-7					
H11F7L3		2 R. 25: 8-13					
08H1F1N1L1	Incípiunt Parábolæ Salomónis	Pr. 1: 1-6					
08H1F1N1L2		Pr. 1: 7-14					
08H1F1N1L3		Pr. 1: 15-19					
08H1F2L1	De Parábolis Salomónis	Pr. 3: 1-6					
08H1F2L2		Pr. 3: 7-10					
08H1F2L3		Pr. 3: 11-15					
08H1F3L1	De Parábolis Salomónis	Pr. 5: 1-6					
08H1F3L2		Pr. 5: 7-13					
08H1F3L3		Pr. 5: 20-23					
08H1F4L1	De Parábolis Salomónis	Pr. 8: 1-6					
08H1F4L2		Pr. 8: 7-11					
08H1F4L3		Pr. 8: 12-17					
08H1F5L1	De Parábolis Salomónis	Pr. 10: 1-5					
08H1F5L2		Pr. 10: 6-10					
08H1F5L3		Pr. 10: 11-16					
08H1F6L1	De Parábolis Salomónis	Pr. 14: 1-5					
08H1F6L2		Pr. 14: 6-11					
08H1F6L3		Pr. 14: 12-16					
08H1F7L1	De Parábolis Salomónis	Pr. 16: 1-5					
08H1F7L2		Pr. 16: 5-9					
08H1F7L3		Pr. 16: 10-15					
08H2F1N1L1	Incipit liber Ecclesiástes	Qo. 1: 1-7					
08H2F1N1L2		Qo. 1: 8-11					
08H2F1N1L3		Qo. 1: 12-17					
08H2F2L1	De libro Ecclesiástæ	Qo. 2: 1-4					
08H2F2L2		Qo. 2: 7-9					
08H2F2L3		Qo. 2: 10-11					
08H2F3L1	De libro Ecclesiástæ	Qo. 3: 1-8					
08H2F3L2		Qo. 3: 9-13					
08H2F3L3		Qo. 3: 14-17					
08H2F4L1	De libro Ecclesiástæ	Qo. 4: 1-4					
08H2F4L2		Qo. 4: 5-8					
08H2F4L3		Qo. 4: 9-13					
08H2F5L1	De libro Ecclesiástæ	Qo. 5: 1-4					
08H2F5L2		Qo. 5: 5-8					
08H2F5L3		Qo. 5: 9-13					
08H2F6L1	De libro Ecclesiástæ	Qo. 6: 1-2					
08H2F6L2		Qo. 6: 3-6					
08H2F6L3		Qo. 6: 6-9					
08H2F7L1	De libro Ecclesiástæ	Qo. 7: 1-3					
08H2F7L2		Qo. 7: 4-9					
08H2F7L3		Qo. 7: 11-14					
08H3F1N1L1	Incipit liber Sapiéntiæ	Sg. 1: 1-4					
08H3F1N1L2		Sg. 1: 5-8					
08H3F1N1L3		Sg. 1: 9-11					
08H3F2L1	De libro Sapiéntiæ	Sg. 3: 1-6					
08H3F2L2		Sg. 3: 7-11					
08H3F2L3		Sg. 5: 16-21					
08H3F3L1	De libro Sapiéntiæ	Sg. 6: 1-5					
08H3F3L2		Sg. 6: 6-9					
08H3F3L3		Sg. 6: 10-13					
08H3F4L1	De libro Sapiéntiæ	Sg. 7: 1-6					
08H3F4L2		Sg. 7: 7-10					
08H3F4L3		Sg. 7: 11-14					
08H3F5L1	De libro Sapiéntiæ	Sg. 9: 13-19					
08H3F5L2		Sg. 10: 1-5					
08H3F5L3		Sg. 10: 6-9					
08H3F6L1	De libro Sapiéntiæ	Sg. 13: 1-3					
08H3F6L2		Sg. 13: 4-7					
08H3F6L3		Sg. 13: 8-10					
08H3F7L1	De libro Sapiéntiæ	Sg. 15: 1-3					
08H3F7L2		Sg. 15: 4-6					
08H3F7L3		Sg. 15: 7-8					
08H4F1N1L1	Incipit liber Ecclesiástici	Si. 1: 1-5					
08H4F1N1L2		Si. 1: 6-10					
08H4F1N1L3		Si. 1: 11-14					
08H4F2L1	De libro Ecclesiástici	Si. 1: 22-26					
08H4F2L2		Si. 1: 27-33					
08H4F2L3		Si. 1: 34-40					
08H4F3L1	De libro Ecclesiástici	Si. 2: 1-3					
08H4F3L2		Si. 2: 4-6					
08H4F3L3		Si. 2: 7-12					
08H4F4L1	De libro Ecclesiástici	Si. 3: 1-4					
08H4F4L2		Si. 3: 5-7					
08H4F4L3		Si. 3: 8-11					
08H4F5L1	De libro Ecclesiástici	Si. 3: 21-25					
08H4F5L2		Si. 3: 26-28					
08H4F5L3		Si. 3: 29-31					
08H4F6L1	De libro Ecclesiástici	Si. 4: 1-4					
08H4F6L2		Si. 4: 5-7					
08H4F6L3		Si. 4: 8-10					
08H4F7L1	De libro Ecclesiástici	Si. 4: 20-23					
08H4F7L2		Si. 4: 24-27					
08H4F7L3		Si. 4: 28-31					
08H5F1N1L1	De libro Ecclesiástici	Si. 5: 1-5					
08H5F1N1L2		Si. 5: 6-9					
08H5F1N1L3		Si. 5: 10-14					
08H5F2L1	De libro Ecclesiástici	Si. 7: 1-5					
08H5F2L2		Si. 7: 6-9					
08H5F2L3		Si. 7: 10-14					
08H5F3L1	De libro Ecclesiástici	Si. 10: 1-5					
08H5F3L2		Si. 10: 6-9					
08H5F3L3		Si. 10: 10-13					
08H5F4L1	De libro Ecclesiástici	Si. 13: 1-5					
08H5F4L2		Si. 13: 8-12					
08H5F4L3		Si. 13: 13-18					
08H5F5L1	De libro Ecclesiástici	Si. 14: 1-5					
08H5F5L2		Si. 14: 6-10					
08H5F5L3		Si. 14: 11-16					
08H5F6L1	De libro Ecclesiástici	Si. 21: 1-4					
08H5F6L2		Si. 21: 5-9					
08H5F6L3		Si. 21: 10-13					
08H5F7L1	De libro Ecclesiástici	Si. 32: 1-3					
08H5F7L2		Si. 32: 4-7					
08H5F7L3		Si. 32: 8-13					
09H1F1N1L1	Incipit liber Job	Jb. 1: 1-3					
09H1F1N1L2		Jb. 1: 4-5					
09H1F1N1L3		Jb. 1: 6-11					
09H1F2L1	De libro Job	Jb. 1: 13-16					
09H1F2L2		Jb. 1: 17-19					
09H1F2L3		Jb. 1: 20-22					
09H1F3L1	De libro Job	Jb. 2: 1-5					
09H1F3L2		Jb. 2: 6-10					
09H1F3L3		Jb. 2: 11-13					
09H1F4L1	De libro Job	Jb. 3: 1-5					
09H1F4L2		Jb. 3: 6-10					
09H1F4L3		Jb. 3: 11-16					
09H1F5L1	De libro Job	Jb. 4: 1-6					
09H1F5L2		Jb. 4: 7-11					
09H1F5L3		Jb. 4: 12-18					
09H1F6L1	De libro Job	Jb. 6: 1-4					
09H1F6L2		Jb. 6: 5-7					
09H1F6L3		Jb. 6: 8-13					
09H1F7L1	De libro Job	Jb. 7: 1-4					
09H1F7L2		Jb. 7: 5-8					
09H1F7L3		Jb. 7: 9-12					
09H2F1N1L1	De libro Job	Jb. 9: 1-5					
09H2F1N1L2		Jb. 9: 6-10					
09H2F1N1L3		Jb. 9: 11-17					
09H2F2L1	De libro Job	Jb. 27: 1-5					
09H2F2L2		Jb. 27: 6-10					
09H2F2L3		Jb. 27: 11-15					
09H2F3L1	De libro Job	Jb. 28: 12-16					
09H2F3L2		Jb. 28: 17-22					
09H2F3L3		Jb. 28: 23-28					
09H2F4L1	De libro Job	Jb. 31: 1-6					
09H2F4L2		Jb. 31: 7-12					
09H2F4L3		Jb. 31: 13-18					
09H2F5L1	De libro Job	Jb. 38: 1-7					
09H2F5L2		Jb. 38: 8-13					
09H2F5L3		Jb. 38: 14-20					
09H2F6L1	De libro Job	Jb. 40: 1-5					
09H2F6L2		Jb. 40: 6-11					
09H2F6L3		Jb. 42: 1-6					
09H2F7L1	De libro Job	Jb. 42: 7-8					
09H2F7L2		Jb. 42: 9-11					
09H2F7L3		Jb. 42: 12-16					
09H3F1N1L1	Incipit liber Tobíæ	Tb. 1: 1-4					
09H3F1N1L2		Tb. 1: 5-9					
09H3F1N1L3		Tb. 1: 10-14					
09H3F2L1	De libro Tobíæ	Tb. 2: 1-4					
09H3F2L2		Tb. 2: 8-10					
09H3F2L3		Tb. 2: 10					
09H3F3L1	De libro Tobíæ	Tb. 2: 11-13					
09H3F3L2		Tb. 2: 14; 3: 1-3					
09H3F3L3		Tb. 3: 4-6					
09H3F5L1	De libro Tobíæ	Tb. 12: 1-4					
09H3F5L2		Tb. 12: 5-10					
09H3F5L3		Tb. 12: 11-17					
09H4F1N1L1	Incipit liber Judith	Jdt. 1: 1-4					
09H4F1N1L2		Jdt. 1: 5-10					
09H4F1N1L3		Jdt. 1: 10-12; 2: 1-3					
09H4F2L1	De libro Judith	Jdt. 4: 1-4					
09H4F2L2		Jdt. 4: 5-8					
09H4F2L3		Jdt. 4: 9-12					
09H4F3L1	De libro Judith	Jdt. 8: 1-4					
09H4F3L2		Jdt. 8: 5-8					
09H4F3L3		Jdt. 8: 9-11					
09H4F4L1	De libro Judith	Jdt. 10: 1-4					
09H4F4L2		Jdt. 10: 11-12					
09H4F4L3		Jdt. 10: 16-20					
09H4F5L1	De libro Judith	Jdt. 12: 10-13					
09H4F5L2		Jdt. 13: 1-7					
09H4F5L3		Jdt. 13: 8-11					
09H4F6L1	De libro Judith	Jdt. 15: 1-3					
09H4F6L2		Jdt. 15: 5-7					
09H4F6L3		Jdt. 15: 9-12					
09H4F7L1	De libro Judith	Jdt. 16: 22-23					
09H4F7L2		Jdt. 16: 24-27					
09H4F7L3		Jdt. 16: 28-31					
09H5F1N1L1	Incipit liber Esther	Est. 1: 1-4					
09H5F1N1L2		Est. 1: 5-6					
09H5F1N1L3		Est. 1: 7-9					
09H5F2L1	De libro Esther	Est. 2: 5-7					
09H5F2L2		Est. 2: 8-11					
09H5F2L3		Est. 2: 15-17					
09H5F3L1	De libro Esther	Est. 3: 1-3					
09H5F3L2		Est. 3: 4-6					
09H5F3L3		Est. 3: 6-7					
09H5F4L1	De libro Esther	Est. 4: 1-5					
09H5F4L2		Est. 4: 6-11					
09H5F4L3		Est. 4: 12-17					
09H5F5L1	De libro Esther	Est. 5: 1-5					
09H5F5L2		Est. 5: 9-13					
09H5F5L3		Est. 5: 14					
09H5F6L1	De libro Esther	Est. 6: 1-5					
09H5F6L2		Est. 6: 6-9					
09H5F6L3		Est. 6: 10-13					
09H5F7L1	De libro Esther	Est. 7: 1-4					
09H5F7L2		Est. 7: 5-7					
09H5F7L3		Est. 7: 8-10					
10H1F1N1L1	Incipit liber primus Machabæórum	1 M. 1: 1-7					
10H1F1N1L2		1 M. 1: 8-11					
10H1F1N1L3		1 M. 1: 12-16					
10H1F2L1	De libro primo Machabæórum	1 M. 1: 17-20					
10H1F2L2		1 M. 1: 21-23					
10H1F2L3		1 M. 1: 24-29					
10H1F3L1	De libro primo Machabæórum	1 M. 2: 1-6					
10H1F3L2		1 M. 2: 7-10					
10H1F3L3		1 M. 2: 14-16					
10H1F4L1	De libro primo Machabæórum	1 M. 2: 19-22					
10H1F4L2		1 M. 2: 23-26					
10H1F4L3		1 M. 2: 27-30					
10H1F5L1	De libro primo Machabæórum	1 M. 2: 49-54					
10H1F5L2		1 M. 2: 55-63					
10H1F5L3		1 M. 2: 64-69					
10H1F6L1	De libro primo Machabæórum	1 M. 2: 70; 3: 1-3; 3: 5-6					
10H1F6L2		1 M. 3: 7-12					
10H1F6L3		1 M. 3: 25-28					
10H1F7L1	De libro primo Machabæórum	1 M. 3: 42-45					
10H1F7L2		1 M. 3: 46-53					
10H1F7L3		1 M. 3: 54-60					
10H2F1N1L1	De libro primo Machabæórum	1 M. 4: 36-40					
10H2F1N1L2		1 M. 4: 41-46					
10H2F1N1L3		1 M. 4: 47-51					
10H2F2L1	De libro primo Machabæórum	1 M. 4: 52-55					
10H2F2L2		1 M. 4: 56-59					
10H2F2L3		1 M. 4: 60-61					
10H2F3L1	De libro primo Machabæórum	1 M. 5: 1-5					
10H2F3L2		1 M. 5: 6-9					
10H2F3L3		1 M. 5: 10-13					
10H2F4L1	De libro primo Machabæórum	1 M. 5: 55-58					
10H2F4L2		1 M. 5: 59-62					
10H2F4L3		1 M. 5: 63-67					
10H2F5L1	De libro primo Machabæórum	1 M. 6: 1-6					
10H2F5L2		1 M. 6: 6-9					
10H2F5L3		1 M. 6: 10-13					
10H2F6L1	De libro primo Machabæórum	1 M. 7: 1; 7: 4-7					
10H2F6L2		1 M. 7: 8-11					
10H2F6L3		1 M. 7: 12-17					
10H2F7L1	De libro primo Machabæórum	1 M. 8: 1-4					
10H2F7L2		1 M. 8: 17-22					
10H2F7L3		1 M. 8: 23-27					
10H3F1N1L1	De libro primo Machabæórum	1 M. 9: 1-6					
10H3F1N1L2		1 M. 9: 7-11					
10H3F1N1L3		1 M. 9: 12-20					
10H3F2L1	De libro primo Machabæórum	1 M. 9: 28-32					
10H3F2L2		1 M. 9: 33-36					
10H3F2L3		1 M. 9: 37-40					
10H3F3L1	De libro primo Machabæórum	1 M. 12: 1-4					
10H3F3L2		1 M. 12: 5-8					
10H3F3L3		1 M. 12: 9-11					
10H3F4L1	De libro primo Machabæórum	1 M. 12: 39-43					
10H3F4L2		1 M. 12: 44-47					
10H3F4L3		1 M. 12: 48-52					
10H3F5L1	De libro primo Machabæórum	1 M. 13: 1-6					
10H3F5L2		1 M. 13: 7-13					
10H3F5L3		1 M. 13: 14-19					
10H3F6L1	De libro primo Machabæórum	1 M. 14: 16-19					
10H3F6L2		1 M. 14: 20-23					
10H3F6L3		1 M. 14: 24-26					
10H3F7L1	De libro primo Machabæórum	1 M. 16: 14-17					
10H3F7L2		1 M. 16: 18-21					
10H3F7L3		1 M. 16: 22-24					
10H4F1N1L1	Incipit liber secúndus Machabæórum	2 M. 1: 1-6					
10H4F1N1L2		2 M. 1: 18-19					
10H4F1N1L3		2 M. 1: 20-22					
10H4F2L1	De libro secúndo Machabæórum	2 M. 2: 1-3					
10H4F2L2		2 M. 2: 4-6					
10H4F2L3		2 M. 2: 7-9					
10H4F3L1	De libro secúndo Machabæórum	2 M. 3: 1-4					
10H4F3L2		2 M. 3: 5-8					
10H4F3L3		2 M. 3: 9-12					
10H4F4L1	De libro secúndo Machabæórum	2 M. 3: 23-25					
10H4F4L2		2 M. 3: 26-29					
10H4F4L3		2 M. 3: 32-34					
10H4F5L1	De libro secúndo Machabæórum	2 M. 4: 1-5					
10H4F5L2		2 M. 4: 6-9					
10H4F5L3		2 M. 4: 10-11					
10H4F6L1	De libro secúndo Machabæórum	2 M. 5: 1-4					
10H4F6L2		2 M. 5: 5-7					
10H4F6L3		2 M. 5: 8-10					
10H4F7L1	De libro secúndo Machabæórum	2 M. 6: 1-4					
10H4F7L2		2 M. 6: 5-9					
10H4F7L3		2 M. 6: 10-12					
10H5F1N1L1	De libro secúndo Machabæórum	2 M. 6: 18-22					
10H5F1N1L2		2 M. 6: 23-28					
10H5F1N1L3		2 M. 7: 1-5					
10H5F2L1	De libro secúndo Machabæórum	2 M. 7: 7-12					
10H5F2L2		2 M. 7: 13-19					
10H5F2L3		2 M. 7: 20-23					
10H5F3L1	De libro secúndo Machabæórum	2 M. 7: 24-27					
10H5F3L2		2 M. 7: 28-33					
10H5F3L3		2 M. 7: 34-41					
10H5F4L1	De libro secúndo Machabæórum	2 M. 8: 10-14					
10H5F4L2		2 M. 8: 16-19					
10H5F4L3		2 M. 8: 21-28					
10H5F5L1	De libro secúndo Machabæórum	2 M. 9: 1-4					
10H5F5L2		2 M. 9: 5-7					
10H5F5L3		2 M. 9: 8-10					
10H5F6L1	De libro secúndo Machabæórum	2 M. 10: 1-5					
10H5F6L2		2 M. 10: 24-27					
10H5F6L3		2 M. 10: 28-32					
10H5F7L1	De libro secúndo Machabæórum	2 M. 15: 7-11					
10H5F7L2		2 M. 15: 12-16					
10H5F7L3		2 M. 15: 17-19					
11H1F1N1L1	Incipit liber Ezechiélis Prophétæ	Ez. 1: 1-4			COEVN1L1		
11H1F1N1L2		Ez. 1: 5-9			COEVN1L2		
11H1F1N1L3		Ez. 1: 10-12			COEVN1L3		
11H1F2L1	De Ezechiéle Prophéta	Ez. 2: 2-5					
11H1F2L2		Ez. 2: 6-7					
11H1F2L3		Ez. 2: 8-9					
11H1F3L1	De Ezechiéle Prophéta	Ez. 3: 1-4					
11H1F3L2		Ez. 3: 5-9					
11H1F3L3		Ez. 3: 10-13					
11H1F4L1	De Ezechiéle Prophéta	Ez. 7: 1-4					
11H1F4L2		Ez. 7: 5-9					
11H1F4L3		Ez. 7: 10-13					
11H1F5L1	De Ezechiéle Prophéta	Ez. 13: 1-6					
11H1F5L2		Ez. 13: 7-10					
11H1F5L3		Ez. 13: 11-14					
11H1F6L1	De Ezechiéle Prophéta	Ez. 15: 1-5					
11H1F6L2		Ez. 15: 6-8					
11H1F6L3		Ez. 16: 1-5					
11H1F7L1	De Ezechiéle Prophéta	Ez. 19: 1-7					
11H1F7L2		Ez. 19: 8-11					
11H1F7L3		Ez. 19: 12-14					
11H2F1N1L1	De Ezechiéle Prophéta	Ez. 21: 1-5					
11H2F1N1L2		Ez. 21: 6-11					
11H2F1N1L3		Ez. 21: 12-15					
11H2F2L1	De Ezechiéle Prophéta	Ez. 33: 1-5					
11H2F2L2		Ez. 33: 6-8					
11H2F2L3		Ez. 33: 9-11					
