Code	Incipit	Rubrique	Fichier	Source
P1F6L3		Ac. 8: 19-24	x	AELF
P1F7L1	De Actibus Apostolórum	Ac. 10: 1-8	x	AELF
P1F7L2		Ac. 10: 9-17	x	AELF
P1F7L3		Ac. 10: 34-41	x	AELF
P2F1N1L1	De Actibus Apostolórum	Ac. 13: 13-20	x	AELF
P2F1N1L2		Ac. 13: 21-25	x	AELF
P2F1N1L3		Ac. 13: 26-33	x	AELF
P2F2L1	De Actibus Apostolórum	Ac. 15: 5-12	x	AELF
P2F2L2		Ac. 15: 13-21	x	AELF
P2F2L3		Ac. 15: 22-29	x	AELF
P2F3L1	De Actibus Apostolórum	Ac. 17: 22-27	x	AELF
P2F3L2		Ac. 17: 28-33	x	AELF
P2F3L3		Ac. 17: 34; 18: 1-4	x	AELF
P2F4L1	De Actibus Apostolórum	Ac. 20: 17-24	x	AELF
P2F4L2		Ac. 20: 25-31	x	AELF
P2F4L3		Ac. 20: 32-38	x	AELF
P2F5L1	De Actibus Apostolórum	Ac. 24: 10-16	x	AELF
P2F5L2		Ac. 24: 17-21	x	AELF
P2F5L3		Ac. 24: 22-27	x	AELF
P2F6L1	De Actibus Apostolórum	Ac. 25: 1-5	x	AELF
P2F6L2		Ac. 25: 6-8	x	AELF
P2F6L3		Ac. 25: 9-12	x	AELF
P2F7L1	De Actibus Apostolórum	Ac. 28: 16-20	x	AELF
P2F7L2		Ac. 28: 21-24	x	AELF
P2F7L3		Ac. 28: 25-31	x	AELF
P3F1N1L1				
P3F1N1L2				
P3F1N1L3				
P3F2L1				
P3F2L2				
P3F2L3				
P3F3L1				
P3F3L2				
P3F3L3				
P3F4L1				
P3F4L2				
P3F4L3				
P3F5L1				
P3F5L2				
P3F5L3				
P3F6L1				
P3F6L2				
P3F6L3				
P3F7L1				
P3F7L2				
P3F7L3				
P4F1N1L1				
P4F1N1L2				
P4F1N1L3				
P4F2L1				
P4F2L2				
P4F2L3				
P4F3L1				
P4F3L2				
P4F3L3				
P4F4L1				
P4F4L2				
P4F4L3				
P4F5L1				
P4F5L2				
P4F5L3				
P4F6L1				
P4F6L2				
P4F6L3				
P4F7L1				
P4F7L2				
P4F7L3				
P5F1N1L1				
P5F1N1L2				
P5F1N1L3				
P5F3L1				
P5F3L2				
P5F3L3				
P5F5N1L1	Todo : vérifier que c'est un doublon de P1F2 ?			
P5F5N1L2				
P5F5N1L3				
P5F6N1L1				
P5F6N1L2				
P5F6N1L3				
P5F7N1L1				
P5F7N1L2				
P5F7N1L3				
P6F1N1L1				
P6F1N1L2				
P6F1N1L3				
P6F2N1L1				
P6F2N1L2				
P6F2N1L3				
P6F3N1L1				
P6F3N1L2				
P6F3N1L3				
P6F4N1L1				
P6F4N1L2				
P6F4N1L3				
P6F5N1L1				
P6F5N1L2				
P6F5N1L3				
P6F6N1L1				
P6F6N1L2				
P6F6N1L3				
P6F7N1L1				
P6F7N1L2				
P6F7N1L3				
